user_id,score,passed,distinction
1,0,0,0
2,82,0,0
3,89,0,0
4,9,0,0
6,26,0,0
7,119,1,1
8,9,0,0
10,3,0,0
11,11,0,0
12,0,0,0
13,0,0,0
14,119,1,1
15,37,0,0
16,36,0,0
17,32,0,0
18,50,0,0
19,9,0,0
20,14,0,0
22,13,0,0
23,43,0,0
24,78,0,0
25,78,0,0
27,8,0,0
28,32,0,0
30,24,0,0
31,13,0,0
33,38,0,0
34,12,0,0
35,75,0,0
37,15,0,0
38,24,0,0
39,49,0,0
40,0,0,0
41,47,0,0
42,0,0,0
43,104,1,0
45,38,0,0
46,16,0,0
47,0,0,0
48,80,0,0
49,90,0,0
50,2,0,0
53,0,0,0
54,0,0,0
55,24,0,0
56,9,0,0
57,38,0,0
58,8,0,0
59,75,0,0
60,46,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,87,0,0
65,2,0,0
66,0,0,0
67,0,0,0
68,0,0,0
70,7,0,0
73,115,1,1
74,89,0,0
75,106,1,1
76,8,0,0
78,0,0,0
79,41,0,0
80,0,0,0
81,2,0,0
82,5,0,0
83,0,0,0
84,10,0,0
85,2,0,0
86,8,0,0
87,25,0,0
88,0,0,0
89,119,1,1
90,71,0,0
91,112,1,1
92,0,0,0
93,24,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
99,43,0,0
100,0,0,0
101,91,1,0
102,0,0,0
103,23,0,0
104,119,1,1
107,0,0,0
108,0,0,0
109,4,0,0
110,0,0,0
111,71,0,0
112,2,0,0
114,32,0,0
115,0,0,0
116,0,0,0
117,89,0,0
118,62,0,0
120,0,0,0
121,1,0,0
122,0,0,0
124,0,0,0
125,7,0,0
127,51,0,0
128,0,0,0
129,0,0,0
130,8,0,0
131,8,0,0
133,69,0,0
135,55,0,0
136,10,0,0
137,2,0,0
138,34,0,0
139,41,0,0
141,0,0,0
142,3,0,0
143,113,1,1
144,5,0,0
145,0,0,0
147,0,0,0
148,0,0,0
149,30,0,0
150,9,0,0
151,4,0,0
152,2,0,0
154,24,0,0
155,0,0,0
156,4,0,0
159,7,0,0
160,8,0,0
161,3,0,0
162,3,0,0
163,7,0,0
164,3,0,0
167,99,1,0
168,0,0,0
169,71,0,0
170,76,0,0
171,7,0,0
172,30,0,0
174,40,0,0
175,0,0,0
176,101,1,0
177,0,0,0
178,57,0,0
179,0,0,0
180,9,0,0
182,60,0,0
183,0,0,0
184,2,0,0
185,43,0,0
186,0,0,0
187,1,0,0
189,19,0,0
190,2,0,0
191,8,0,0
192,30,0,0
193,7,0,0
194,0,0,0
195,0,0,0
197,0,0,0
199,0,0,0
200,0,0,0
201,24,0,0
203,9,0,0
204,0,0,0
205,51,0,0
207,0,0,0
208,0,0,0
210,3,0,0
212,2,0,0
213,0,0,0
214,0,0,0
215,2,0,0
217,32,0,0
218,0,0,0
219,30,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,17,0,0
224,0,0,0
226,69,0,0
228,3,0,0
229,106,1,1
230,0,0,0
231,7,0,0
232,21,0,0
233,102,1,0
235,34,0,0
238,0,0,0
240,3,0,0
243,24,0,0
244,0,0,0
245,16,0,0
247,41,0,0
248,0,0,0
249,0,0,0
250,2,0,0
251,4,0,0
252,5,0,0
253,59,0,0
254,112,1,1
255,38,0,0
256,40,0,0
257,0,0,0
258,9,0,0
259,6,0,0
260,0,0,0
263,6,0,0
265,2,0,0
266,90,0,0
267,19,0,0
268,106,1,1
269,2,0,0
270,24,0,0
271,43,0,0
273,64,0,0
275,1,0,0
276,1,0,0
277,0,0,0
278,40,0,0
279,0,0,0
280,16,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,69,0,0
285,2,0,0
286,12,0,0
288,1,0,0
290,60,0,0
291,9,0,0
292,4,0,0
293,20,0,0
295,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,26,0,0
303,26,0,0
304,8,0,0
305,9,0,0
306,4,0,0
307,0,0,0
308,0,0,0
309,119,1,1
310,0,0,0
311,0,0,0
312,0,0,0
314,37,0,0
315,4,0,0
316,0,0,0
317,7,0,0
319,0,0,0
320,49,0,0
322,0,0,0
323,5,0,0
324,0,0,0
325,11,0,0
326,119,1,1
328,112,1,1
330,0,0,0
331,2,0,0
332,0,0,0
333,3,0,0
334,2,0,0
336,0,0,0
337,12,0,0
338,2,0,0
340,7,0,0
341,0,0,0
342,30,0,0
343,0,0,0
344,9,0,0
345,9,0,0
347,0,0,0
348,0,0,0
349,32,0,0
350,2,0,0
351,0,0,0
352,70,0,0
353,19,0,0
357,1,0,0
358,39,0,0
359,0,0,0
360,0,0,0
361,4,0,0
362,0,0,0
363,0,0,0
364,1,0,0
366,0,0,0
367,24,0,0
369,19,0,0
370,0,0,0
371,80,0,0
372,0,0,0
373,0,0,0
374,65,0,0
377,0,0,0
378,43,0,0
380,9,0,0
381,0,0,0
384,77,0,0
385,43,0,0
386,0,0,0
387,7,0,0
388,18,0,0
389,2,0,0
390,39,0,0
391,0,0,0
392,0,0,0
393,102,1,0
394,2,0,0
395,0,0,0
396,0,0,0
397,0,0,0
398,2,0,0
399,0,0,0
400,0,0,0
401,92,1,0
402,3,0,0
403,25,0,0
404,78,0,0
407,4,0,0
408,0,0,0
409,0,0,0
410,11,0,0
412,0,0,0
413,3,0,0
414,47,0,0
415,0,0,0
417,36,0,0
418,26,0,0
420,0,0,0
421,0,0,0
422,18,0,0
423,2,0,0
424,5,0,0
425,12,0,0
426,0,0,0
427,2,0,0
428,56,0,0
429,4,0,0
431,3,0,0
432,0,0,0
433,14,0,0
434,1,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,77,0,0
439,1,0,0
440,0,0,0
441,26,0,0
445,0,0,0
446,100,1,0
448,0,0,0
449,10,0,0
450,3,0,0
453,1,0,0
455,47,0,0
456,0,0,0
457,10,0,0
460,3,0,0
461,32,0,0
462,0,0,0
463,9,0,0
464,15,0,0
465,32,0,0
466,15,0,0
467,0,0,0
468,0,0,0
469,95,1,0
470,0,0,0
471,0,0,0
472,2,0,0
473,108,1,1
474,0,0,0
476,0,0,0
477,2,0,0
478,0,0,0
481,0,0,0
482,0,0,0
483,32,0,0
485,7,0,0
486,0,0,0
487,65,0,0
488,0,0,0
490,3,0,0
491,9,0,0
492,0,0,0
495,0,0,0
496,3,0,0
497,2,0,0
498,4,0,0
499,36,0,0
500,24,0,0
501,9,0,0
502,0,0,0
503,77,0,0
504,0,0,0
506,0,0,0
508,0,0,0
509,8,0,0
510,0,0,0
511,3,0,0
513,111,1,1
514,0,0,0
515,0,0,0
516,3,0,0
518,44,0,0
519,2,0,0
520,3,0,0
521,0,0,0
522,30,0,0
523,9,0,0
524,99,1,0
525,0,0,0
526,0,0,0
527,5,0,0
528,17,0,0
532,24,0,0
533,0,0,0
534,0,0,0
536,108,1,1
537,106,1,1
538,8,0,0
539,0,0,0
541,0,0,0
542,2,0,0
544,0,0,0
545,24,0,0
546,119,1,1
547,0,0,0
548,2,0,0
549,0,0,0
550,12,0,0
551,0,0,0
552,0,0,0
553,0,0,0
554,19,0,0
555,74,0,0
556,39,0,0
557,27,0,0
558,119,1,1
559,85,0,0
560,0,0,0
561,26,0,0
562,0,0,0
564,4,0,0
565,0,0,0
566,0,0,0
567,105,1,0
568,0,0,0
569,119,1,1
570,91,1,0
571,0,0,0
572,2,0,0
574,0,0,0
575,9,0,0
577,0,0,0
579,22,0,0
580,0,0,0
581,110,1,1
582,0,0,0
584,66,0,0
585,0,0,0
586,119,1,1
588,3,0,0
590,45,0,0
591,2,0,0
592,0,0,0
593,0,0,0
594,9,0,0
595,6,0,0
597,0,0,0
599,0,0,0
600,24,0,0
601,0,0,0
602,0,0,0
603,0,0,0
604,63,0,0
605,26,0,0
606,0,0,0
608,47,0,0
609,0,0,0
610,6,0,0
612,2,0,0
614,105,1,0
615,93,1,0
616,7,0,0
618,28,0,0
619,0,0,0
621,85,0,0
622,3,0,0
623,0,0,0
624,89,0,0
626,1,0,0
627,3,0,0
628,2,0,0
629,38,0,0
